date,time,headline_raw
2/7/2026,21:50:22,CBOE VOLATILITY INDEX HITS OVER TWO-WEEK LOW; LAST DOWN 0.72 POINTS AT 15.87
2/7/2026,21:32:53,US STOCKS SNAPSHOT-Wall St opens higher after June jobs report eases rate- hike bets
2/7/2026,21:30:30,"NASDAQ .IXIC UP 8.44 POINTS, OR 0.03 PERCENT, AT 26,048.47 AFTER MARKET OPEN"
2/7/2026,21:30:30,"DOW JONES .DJI UP 281.70 POINTS, OR 0.54 PERCENT, AT 52,586.94 AFTER MARKET OPEN"
2/7/2026,21:30:30,"S&P 500 .INX UP 19.48 POINTS, OR 0.26 PERCENT, AT 7,502.71 AFTER MARKET OPEN"
2/7/2026,21:30:30,"S&P 500 .INX UP 19.48 POINTS, OR 0.26 %, AT 7,502.71 AFTER MARKET OPEN"
2/7/2026,20:58:59,Wall St set to open higher after June jobs report eases rate hike bets US STOCKS
2/7/2026,20:34:04,US STOCKS SNAPSHOT-US stock futures extend gains after June non-farm payrolls data US STOCK INDEX FUTURES EXTEND GAINS AFTER JUNE JOBS DATA
2/7/2026,20:18:21,"US S&P 500 E-MINI FUTURES UP 0.1%, DOW FUTURES UP 0.1%, NASDAQ 100 FUTURES UP 0.2%"
2/7/2026,19:05:51,"S&P 500 E-MINI FUTURES FLAT, DOW FUTURES UP 0.2%"
2/7/2026,19:05:10,"NASDAQ 100 FUTURES PARE DECLINES, LAST DOWN 0.33%"
2/7/2026,19:03:26,Wall St futures mixed as investors await payrolls data US STOCKS
2/7/2026,17:31:20,Wall St futures muted as investors await payrolls data US STOCKS
2/7/2026,16:01:38,"US S&P 500 E-MINI FUTURES DOWN 0.21%, DOW FUTURES DOWN 0.1%, NASDAQ 100 FUTURES DOWN 0.76%"
2/7/2026,5:28:21,Wall Street ends choppy session lower as tech shares drop US STOCKS
2/7/2026,4:01:52,Wall Street ends lower as tech shares slip US STOCKS
2/7/2026,4:00:01,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 6.33 POINTS, OR 0.01%, AT 52,325.53"
2/7/2026,4:00:00,"S&P 500 .SPX UNOFFICIALLY CLOSES DOWN 12.95 POINTS, OR 0.17 PERCENT, AT 7,486.41"
2/7/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 16.22 POINTS, OR 0.03 PERCENT, AT 52,335.42"
2/7/2026,4:00:00,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 177.62 POINTS, OR 0.68 PERCENT, AT 26,036.10"
2/7/2026,2:43:21,"S&P 500 near flat, Meta shares jump US STOCKS"
2/7/2026,0:18:10,"S&P 500, Dow rise after Warsh says inflation risks have eased US STOCKS"
2/7/2026,0:10:52,"DOW HITS INTRADAY RECORD HIGH, LAST UP 0.7%"
1/7/2026,23:21:52,"DOW JONES UP 0.27%, NASDAQ COMPOSITE FLAT"
1/7/2026,23:21:11,"S&P 500 TURNS POSITIVE, LAST UP 0.21%"
1/7/2026,22:38:35,Wall St dips as US-Iran tensions weigh on sentiment US STOCKS
1/7/2026,22:24:43,"U.S. STOCK INDEXES PARE DECLINES; S&P 500 FLAT, NASDAQ DOWN 0.3%"
1/7/2026,21:56:45,"DOW JONES PARES DECLINES, LAST DOWN 0.1%"
1/7/2026,21:32:04,US STOCKS SNAPSHOT-Wall St slips at open as US-Iran tensions cloud start to second half
1/7/2026,21:30:30,"NASDAQ .IXIC DOWN 178.08 POINTS, OR 0.68 PERCENT, AT 26,035.64 AFTER MARKET OPEN"
1/7/2026,21:30:30,"DOW JONES .DJI DOWN 163.77 POINTS, OR 0.31 PERCENT, AT 52,155.43 AFTER MARKET OPEN"
1/7/2026,21:30:30,"S&P 500 .INX DOWN 32.24 POINTS, OR 0.43 %, AT 7,467.12 AFTER MARKET OPEN"
1/7/2026,21:30:30,"S&P 500 .INX DOWN 32.24 POINTS, OR 0.43 PERCENT, AT 7,467.12 AFTER MARKET OPEN"
1/7/2026,20:40:17,Wall St set to slip as US-Iran tensions cloud start to second half US STOCKS
1/7/2026,19:44:38,Wall St futures slip as US-Iran tensions cloud Middle East peace prospects US STOCKS
1/7/2026,18:02:34,Wall St futures slip as second half of year begins with Mideast worries US STOCKS
1/7/2026,16:01:10,"US S&P 500 E-MINI FUTURES DOWN 0.36%, DOW FUTURES DOWN 0.35%, NASDAQ 100 FUTURES DOWN 0.54%"
1/7/2026,4:54:35,"S&P 500, Nasdaq register best quarter since 2020 despite Iran war US STOCKS"
1/7/2026,4:02:04,DOW NOTCHES RECORD HIGH CLOSE
1/7/2026,4:02:03,"FOR THE MONTH, THE S&P 500 FELL 1.1%, THE DOW ROSE 2.5% AND THE NASDAQ FELL 2.8%"
1/7/2026,4:02:03,"FOR THE QUARTER, THE S&P 500 ROSE 14.9%, THE DOW ROSE 12.9% AND THE NASDAQ ROSE 21.4%"
1/7/2026,4:02:03,S&P 500 AND NASDAQ QUARTERLY GAINS ARE BIGGEST SINCE Q2 2020
1/7/2026,4:00:49,"S&P 500, Nasdaq post best quarter since 2020 despite Iran war US STOCKS"
1/7/2026,4:00:00,"S&P 500 .SPX UNOFFICIALLY CLOSES UP 60.91 POINTS, OR 0.82 PERCENT, AT 7,501.34"
1/7/2026,4:00:00,"NASDAQ .IXIC UNOFFICIALLY CLOSES UP 428.03 POINTS, OR 1.66 PERCENT, AT 26,248.17"
1/7/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 164.45 POINTS, OR 0.32%, AT 52,347.19"
1/7/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 134.31 POINTS, OR 0.26 PERCENT, AT 52,317.05 S&P 500, Nasdaq set for best quarter since 2020 despite Iran war US STOCKS"
1/7/2026,0:36:28,Wall St set for strongest quarter in years as risk appetite holds despite US-Iran war US STOCKS
1/7/2026,0:07:04,CBOE VOLATILITY INDEX FALLS TO ONE- WEEK LOW; DOWN 0.89 POINTS AT 16.76
30/6/2026,22:33:32,Wall St set for strongest quarter in years as risk appetite holds despite US-Iran war US STOCKS
30/6/2026,22:30:12,"U.S. STOCKS EXTEND GAINS, NASDAQ -IXIC UP 1.00%"
30/6/2026,22:30:12,"U.S. STOCKS EXTEND GAINS, NASDAQ -IXIC UP 1.00 PCT"
30/6/2026,21:32:08,US STOCKS SNAPSHOT-Wall St subdued at open on final trading day of strong quarter
30/6/2026,21:30:30,"DOW JONES .DJI UP 65.30 POINTS, OR 0.13 PERCENT, AT 52,248.04 AFTER MARKET OPEN"
30/6/2026,21:30:30,"NASDAQ .IXIC DOWN 11.79 POINTS, OR 0.05 PERCENT, AT 25,808.35 AFTER MARKET OPEN"
30/6/2026,21:30:30,"S&P 500 .INX DOWN 2.39 POINTS, OR 0.03 %, AT 7,438.04 AFTER MARKET OPEN"
30/6/2026,21:30:30,"S&P 500 .INX DOWN 2.39 POINTS, OR 0.03 PERCENT, AT 7,438.04 AFTER MARKET OPEN"
30/6/2026,21:02:23,Wall St set for subdued open on final trading day of strong quarter US STOCKS
30/6/2026,19:55:24,US stock futures tick up as strong quarter nears end US STOCKS
30/6/2026,18:16:50,US stock futures little changed as strong quarter nears end US STOCKS
30/6/2026,16:09:10,"US S&P 500 E-MINI FUTURES UP 0.07%, DOW FUTURES UP 0.04%, NASDAQ 100 FUTURES UP 0.22%"
30/6/2026,5:05:13,"Wall Street ends higher as US, Iran attacks ease; major tech-related shares jump US STOCKS"
30/6/2026,4:02:21,DOW JONES INDUSTRIAL AVERAGE NOTCHES RECORD HIGH CLOSE
30/6/2026,4:00:51,"Wall Street ends higher as US, Iran attacks ease; major tech-related shares jump US STOCKS DOW JONES .DJI UNOFFICIALLY CLOSES UP 285.58 POINTS, OR 0.55%, AT 52,161.69 S&P 500 .SPX UNOFFICIALLY CLOSES UP 87.76 POINTS, OR 1.19 PERCENT, AT 7,441.78"
30/6/2026,4:00:00,"NASDAQ .IXIC UNOFFICIALLY CLOSES UP 506.79 POINTS, OR 2.00 PERCENT, AT 25,804.41"
30/6/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 323.52 POINTS, OR 0.62 PERCENT, AT 52,199.63"
30/6/2026,2:58:46,"Wall Street indexes rise as US, Iran attacks ease; major tech-related shares jump US STOCKS"
30/6/2026,2:45:55,"U.S. STOCKS EXTEND GAINS, NASDAQ -IXIC UP 2.00%"
30/6/2026,2:45:55,"U.S. STOCKS EXTEND GAINS, NASDAQ -IXIC UP 2.00 PCT"
30/6/2026,0:20:09,"Wall St indexes climb as US, Iran halt attacks; Comcast surges on spin-off plan US STOCKS"
29/6/2026,22:26:30,"S&P 500 UP 0.2%, NASDAQ UP 0.3%, DOW UP 0.43%"
29/6/2026,22:26:29,U.S. STOCK INDEXES PARE GAINS
29/6/2026,22:07:15,"Wall St indexes climb as US, Iran halt attacks; Comcast surges on spin-off plan US STOCKS"
29/6/2026,21:45:56,"U.S. STOCKS EXTEND GAINS, S&P 500 «SPX UP 1.00 PCT"
29/6/2026,21:31:56,"US STOCKS SNAPSHOT-Wall Street opens higher as US, Iran halt attacks"
29/6/2026,21:31:24,"U.S. STOCKS EXTEND GAINS, NASDAQ -IXIC UP 1.00%"
29/6/2026,21:31:24,"U.S. STOCKS EXTEND GAINS, NASDAQ -IXIC UP 1.00 PCT"
29/6/2026,21:30:30,"NASDAQ .IXIC UP 187.34 POINTS, OR 0.74 PERCENT, AT 25,484.96 AFTER MARKET OPEN"
29/6/2026,21:30:30,"DOW JONES .DJI UP 151.38 POINTS, OR 0.29 PERCENT, AT 52,027.49 AFTER MARKET OPEN"
29/6/2026,21:30:30,"S&P 500 .INX UP 31.97 POINTS, OR 0.43 PERCENT, AT 7,385.99 AFTER MARKET OPEN"
29/6/2026,21:30:30,"S&P 500 .INX UP 31.97 POINTS, OR 0.43 %, AT 7,385.99 AFTER MARKET OPEN"
29/6/2026,20:42:41,"Wall St set to climb as US, Iran halt attacks; Comcast surges on spin-off plan US STOCKS"
29/6/2026,19:33:25,"Wall St climbs as Mideast tensions ease, Comcast surges on spin-off plan US STOCKS"
29/6/2026,17:40:36,Nasdaq futures lead Wall St higher as Middle East tensions ease US STOCKS
27/6/2026,4:19:53,S&P 500 ends lower; chips tumble and Moderna rallies US STOCKS
27/6/2026,4:15:09,"PHILADELPHIA SE SEMICONDUCTOR INDEX .SOX LOSES 7.9% ON THE WEEK, STEEPEST WEEKLY LOSS SINCE EARLY APRIL (REPEATS TO TRADING SYMBOL) RPT"
27/6/2026,4:09:48,"PHILADELPHIA SE SEMICONDUCTOR INDEX .SOX LOSES 7.9% ON THE WEEK, STEEPEST WEEKLY LOSS SINCE EARLY APRIL"
27/6/2026,4:04:20,"UNOFFICIALLY, FOR THE WEEK, THE S&P 500 FELL 1.96%, THE NASDAQ DECLINED 4.6%, AND THE DOW CLIMBED 0.6%"
27/6/2026,4:01:52,Wall Street ends mixed; chips tumble and Moderna rallies US STOCKS
27/6/2026,4:00:01,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 20.53 POINTS, OR 0.08 PERCENT, AT 25,338.07"
27/6/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES DOWN 13.74 POINTS, OR 0.03%, AT 51,906.88"
27/6/2026,4:00:00,"S&P 500 .SPX UNOFFICIALLY CLOSES UP 1.92 POINTS, OR 0.03 PERCENT, AT 7,359.41"
27/6/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES DOWN 48.08 POINTS, OR 0.09 PERCENT, AT 51,872.54"
27/6/2026,2:33:16,"Wall Street mixed as Moderna rallies and chips tumble US STOCKS S&P 500, Nasdaq set for weekly fall as chip stocks slide US STOCKS"
27/6/2026,0:02:08,"U.S. STOCK INDEXES TURN HIGHER; S&P 500 AND DOW UP 0.3% EACH, NASDAQ UP 0.2%"
26/6/2026,22:19:52,"U.S. STOCK INDEXES CUT LOSSES; S&P 500 DOWN 0.1%, NASDAQ DOWN 0.2%, DOW FLAT"
26/6/2026,21:50:10,"S&P 500, Nasdaq set for sharp weekly fall as chips stocks slide Us STOCKS"
26/6/2026,21:47:59,CBOE VOLATILITY INDEX BRIEFLY HIT OVER TWO-WEEK HIGH; LAST UP 1.42 POINTS AT 20.31 US STOCKS SNAPSHOT-Wall St opens lower as chip stocks resume slide
26/6/2026,21:30:30,"U.S. STOCKS EXTEND FALL, NASDAQ -IXIC DOWN 1.09%"
26/6/2026,21:30:30,"NASDAQ .IXIC DOWN 276.06 POINTS, OR 1.09 PERCENT, AT 25,082.54 AFTER MARKET OPEN"
26/6/2026,21:30:30,"DOW JONES .DJI DOWN 216.38 POINTS, OR 0.42 PERCENT, AT 51,704.24 AFTER MARKET OPEN"
26/6/2026,21:30:30,"S&P 500 .INX DOWN 49.31 POINTS, OR 0.67 %, AT 7,308.18 AFTER MARKET OPEN"
26/6/2026,21:30:30,"S&P 500 .INX DOWN 49.31 POINTS, OR 0.67 PERCENT, AT 7,308.18 AFTER MARKET OPEN"
26/6/2026,21:13:54,Nasdaq set for sharp declines as chips slide again US STOCKS
26/6/2026,19:34:32,Wall St futures fall as chip stocks resume slide after Micron-led rally US STOCKS
26/6/2026,17:41:08,Wall St futures fall as chip stocks resume slide after Micron-led rally US STOCKS
26/6/2026,16:00:19,"U.S. S&P 500 E-MINI FUTURES DOWN 0.2%, NASDAQ 100 FUTURES DOWN 0.7%, DOW FUTURES UP 0.2% NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:53:26,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:47:59,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:42:41,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:37:23,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:32:11,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:27:15,Wall St ends mixed as tech megacap declines outweigh upbeat chip outlook US STOCKS
26/6/2026,4:27:03,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:21:34,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:11:56,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:06:45,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:01:07,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60"
26/6/2026,4:00:42,"Nasdaq, S&P end lower as tech megacap declines outweigh upbeat chip outlook US STOCKS"
26/6/2026,4:00:01,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 163.89 POINTS, OR 0.64 PERCENT, AT 25,312.74"
26/6/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 21.33 POINTS, OR 0.04%, AT 51,870.23 Nasdaq drops as tech megacap declines outweigh upbeat chip outlook US STOCKS"
26/6/2026,0:31:06,Nasdaq drops as tech megacap declines outweigh upbeat chip outlook US STOCKS
25/6/2026,22:14:50,"DOW HITS INTRADAY HIGH, LAST UP 1.1%"
25/6/2026,22:10:26,"S&P 500, Nasdaq drop as tech megacap declines outweigh upbeat Micron forecast US STOCKS"
25/6/2026,22:09:41,"U.S. STOCKS EXTEND GAINS, DOW JONES .DJI UP 1.00 PCT"
25/6/2026,21:57:59,"S&P 500 REVERSES EARLY GAINS, LAST DOWN 0.40%"
25/6/2026,21:53:56,"U.S. STOCKS EXTEND FALL, NASDAQ -IXIC DOWN 1.00%"
25/6/2026,21:53:56,"U.S. STOCKS EXTEND FALL, NASDAQ -IXIC DOWN 1.00 PCT"
25/6/2026,21:48:44,"NASDAQ TURNS NEGATIVE, LAST DOWN 0.73%"
25/6/2026,21:32:26,"US STOCKS SNAPSHOT-Wall St opens higher after Micron revives AI optimism, upbeat economic data"
25/6/2026,21:30:30,"NASDAQ .IXIC UP 234.68 POINTS, OR 0.92 PERCENT, AT 25,711.32 AFTER MARKET OPEN"
25/6/2026,21:30:30,"S&P 500 .INX UP 57.40 POINTS, OR 0.78 PERCENT, AT 7,415.62 AFTER MARKET OPEN"
25/6/2026,21:30:30,"DOW JONES .DJI UP 327.07 POINTS, OR 0.63 PERCENT, AT 52,175.97 AFTER MARKET OPEN"
25/6/2026,21:30:30,"S&P 500 .INX UP 57.40 POINTS, OR 0.78 %, AT 7,415.62 AFTER MARKET OPEN"
25/6/2026,21:15:38,"Wall St set for higher open after Micron revives AI optimism, upbeat economic data US STOCKS"
25/6/2026,20:36:34,US STOCKS SNAPSHOT-Wall St futures extend gains after May inflation data
25/6/2026,20:30:40,U.S. STOCK FUTURES EXTEND GAINS AFTER MAY PCE DATA
25/6/2026,19:31:13,Nasdaq futures surge 2% as chip outlook calms AI jitters; inflation data awaited US STOCKS
25/6/2026,17:16:05,"Nasdaq futures jump 2% as Micron, Qualcomm forecasts ease AI concerns; PCE data awaited US STOCKS"
25/6/2026,16:00:51,"U.S. S&P 500 E-MINI FUTURES UP 0.78%, NASDAQ 100 FUTURES GAIN 2.24%, DOW FUTURES ADD 0.11%"
25/6/2026,15:28:03,"Nasdaq futures jump 2% as Micron, Qualcomm forecasts relieve investors US STOCKS"
25/6/2026,13:43:02,"U.S. S&P 500 E-MINI FUTURES UP 0.6%, NASDAQ 100 FUTURES UP 2%, DOW FUTURES FLAT Nasdaq, S&P end lower as tech stocks fall US STOCKS"
25/6/2026,4:00:01,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 177.22 POINTS, OR 0.34 PERCENT, AT 51,844.06"
25/6/2026,4:00:00,"S&P 500 .SPX UNOFFICIALLY CLOSES DOWN 10.09 POINTS, OR 0.14 PERCENT, AT 7,355.37"
25/6/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 172.17 POINTS, OR 0.33%, AT 51,839.01"
25/6/2026,4:00:00,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 150.88 POINTS, OR 0.59 PERCENT, AT 25,436.16"
25/6/2026,2:33:38,"Nasdaq, S&P dip, trading choppy as tech stocks fall US STOCKS"
25/6/2026,1:20:55,"NASDAQ TURNS NEGATIVE, LAST DOWN 0.24%"
25/6/2026,0:05:11,Wall St rebounds with broad gains as oil slides sharply US STOCKS
24/6/2026,23:21:30,"U.S. STOCKS EXTEND GAINS, DOW JONES .DJI UP 1.00%"
24/6/2026,23:21:30,"U.S. STOCKS EXTEND GAINS, DOW JONES .DJI UP 1.00 PCT"
24/6/2026,22:04:20,"S&P 500, Nasdaq rise in choppy trading as tech steadies, Micron results in focus US STOCKS"
24/6/2026,21:33:51,"US STOCKS SNAPSHOT-Wall St subdued as tech steadies, Micron earnings in focus"
24/6/2026,21:30:30,"NASDAQ .IXIC UP 10.86 POINTS, OR 0.04 PERCENT, AT 25,597.90 AFTER MARKET OPEN"
24/6/2026,21:30:30,"DOW JONES .DJI DOWN 30.69 POINTS, OR 0.06 PERCENT, AT 51,636.15 AFTER MARKET OPEN"
24/6/2026,21:30:30,"S&P 500 .INX UP 6.94 POINTS, OR 0.09 PERCENT, AT 7,372.40 AFTER MARKET OPEN S&P 500 .INX UP 6.94 POINTS, OR 0.09 %, AT 7,372.40 AFTER MARKET OPEN"
24/6/2026,20:40:29,"Wall St set to open higher as tech rebounds, Micron earnings eyed US STOCKS"
24/6/2026,18:54:14,"S&P 500, Nasdaq futures tick up as tech steadies, Micron earnings eyed US STOCKS"
24/6/2026,17:11:59,"S&P 500, Nasdaq futures tick up as tech shares stabilize US STOCKS"
24/6/2026,16:00:50,"U.S. S&P 500 E-MINI FUTURES FLAT, NASDAQ 100 FUTURES ADD 0.36%, DOW FUTURES DOWN 0.18%"
24/6/2026,4:38:33,Wall Street ends lower on semiconductor selloff as AI spending concerns mount US STOCKS
24/6/2026,4:00:56,"S&P, Nasdaq end lower on semiconductor selloff as AI spending concerns mount US STOCKS"
24/6/2026,4:00:00,"S&P 500 .SPX UNOFFICIALLY CLOSES DOWN 99.41 POINTS, OR 1.33 PERCENT, AT 7,373.38"
24/6/2026,4:00:00,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 546.33 POINTS, OR 2.09 PERCENT, AT 25,620.27"
24/6/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 20.38 POINTS, OR 0.04%, AT 51,733.09"
24/6/2026,4:00:00,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 6.93 POINTS, OR 0.01 PERCENT, AT 51,719.64"
24/6/2026,2:53:02,"S&P, Nasdaq drop on semiconductor selloff as AI spending concerns mount US STOCKS"
